BSC;Site;Nom secteur;Nbre TRX;ID;LAC;Longitude;Latitude
PNBSC2;DOLISIE4;DOLIZ47;4;22 197;22;"12°39'37,08""E";"4°10'19,81""S"
PNBSC2;DOLISIE4;DOLIZ48;4;22 198;22;"12°39'37,08""E";"4°10'19,81""S"
PNBSC2;DOLISIE4;DOLIZ49;4;22 199;22;"12°39'37,08""E";"4°10'19,81""S"
HWBSC01;DONGOU;DONGOU1;4;14 161;14;"18°3'0,72""E";"2°2'46,28""N"
HWBSC01;DONGOU;DONGOU2;4;14 162;14;"18°3'0,72""E";"2°2'46,28""N"
HWBSC01;DONGOU;DONGOU3;4;14 163;14;"18°3'0,72""E";"2°2'46,28""N"
BZBSC2;DOUMA;DOUMA1;2;12 021;12;"15°16'46,9""E";"1°35'18,2""N"
BZBSC2;DOUMA;DOUMA2;2;12 022;12;"15°16'46,9""E";"1°35'18,2""N"
BZBSC2;DOUMAKENIA;DOUMAK1;2;12 411;12;"15°47'39,2""E";"1°12'25,1""N"
BZBSC2;DOUMAKENIA;DOUMAK2;2;12 412;12;"15°47'39,2""E";"1°12'25,1""N"
BZBSC2;DOUMAKENIA;DOUMAK3;2;12 413;12;"15°47'39,2""E";"1°12'25,1""N"
PNBSC2;DOUMANGA;DMANGA1;2;22 061;22;"12°13'28,3""E";"4°25'5,8""S"
PNBSC2;DOUMANGA;DMANGA2;2;22 062;22;"12°13'28,3""E";"4°25'5,8""S"
PNBSC2;DOUMANGA;DMANGA3;2;22 063;22;"12°13'28,3""E";"4°25'5,8""S"
PNBSC2;DOUMANI;DUMANI1;2;22 091;22;"12°47'4,4""E";"2°10'27,3""S"
PNBSC2;DOUMANI;DUMANI2;2;22 092;22;"12°47'4,4""E";"2°10'27,3""S"
PNBSC2;DOUMANI;DUMANI3;2;22 093;22;"12°47'4,4""E";"2°10'27,3""S"
PNBSC2;DOUNGOU;DOUNGU1;2;22 101;22;"11°40'23,7""E";"4°13'29,7""S"
PNBSC2;DOUNGOU;DOUNGU2;2;22 102;22;"11°40'23,7""E";"4°13'29,7""S"
PNBSC2;DOUNGOU;DOUNGU3;2;22 103;22;"11°40'23,7""E";"4°13'29,7""S"
BZBSC3;DRAGAGE;DRAGA7;4;13 037;13;"15°17'37,78""E";"4°14'12,55""S"
BZBSC3;DRAGAGE;DRAGA8;4;13 038;13;"15°17'37,78""E";"4°14'12,55""S"
BZBSC3;DRAGAGE;DRAGA9;4;13 039;13;"15°17'37,78""E";"4°14'12,55""S"
BZBSC3;DTMTN;DTMTN11;4;13 091;13;"15°17'19,54""E";"4°16'16,1""S"
