MO;MO;Site_Name;LAC;BCCH ;TCH_Available_For_Voice;FPDCH;Net_TRXs_Available;LAT;LONG
C00591;591;5 FEVRIER-1;200;64;61;2;8;-4,25644060;15,29575060
C00592;592;5 FEVRIER-2;200;72;45;2;6;-4,25644060;15,29575060
C00593;593;5 FEVRIER-3;200;70;61;2;8;-4,25644060;15,29575060
45051;45051;ABALA;117;65;8;1;1;-1,32611100;15,55166100
45052;45052;ABALA;117;69;32;1;4;-1,32611100;15,55166100
C00421;421;ABATTOIR-1;300;75;58;2;8;-4,28431220;15,23358250
C00422;422;ABATTOIR-2;300;70;60;2;8;-4,28431220;15,23358250
C00423;423;ABATTOIR-3;300;68;57;2;8;-4,28431220;15,23358250
C00441;441;ABILA STREET-1;100;77;58;2;8;-4,22205020;15,28216550
C00442;442;ABILA STREET-2;100;66;61;2;8;-4,22205020;15,28216550
C00443;443;ABILA STREET-3;100;64;58;2;8;-4,22205020;15,28216550
C00221;221;AEROPORT-1;200;63;59;4;8;-4,26282740;15,25472550
C00222;222;AEROPORT-2;200;70;60;3;8;-4,26282740;15,25472550
C00223;223;AEROPORT-3;200;66;60;2;8;-4,26282740;15,25472550
10251;10251;AEROPORTFERME1;901;73;32;2;4;-4,82002778;11,88027778
10252;10252;AEROPORTFERME2;901;71;24;1;3;-4,82002778;11,88027778
10253;10253;AEROPORTFERME3;901;68;24;2;3;-4,82002778;11,88027778
10254;10254;AEROPORTFERME4;901;605;32;2;4;-4,82002778;11,88027778
10255;10255;AEROPORTFERME5;901;602;24;2;3;-4,82002778;11,88027778
10256;10256;AEROPORTFERME6;901;595;32;2;4;-4,82002778;11,88027778
C00771;771;AGOSTINO NETO-1;100;64;44;2;6;-4,21717550;15,29214570
C00772;772;AGOSTINO NETO-2;100;68;60;2;8;-4,21717550;15,29214570
C00773;773;AGOSTINO NETO-3;100;66;59;2;8;-4,21717550;15,29214570
45141;45141;AKANA LAGUE;214;66;16;1;2;-2,45083300;14,52852800
45142;45142;AKANA LAGUE;214;62;16;1;2;-2,45083300;14,52852800
45143;45143;AKANA LAGUE;214;74;16;1;2;-2,45083300;14,52852800
45311;45311;ALION;214;67;16;1;2;-2,44800000;15,02188900
45312;45312;ALION;214;72;16;1;2;-2,44800000;15,02188900
45313;45313;ALION;214;77;16;1;2;-2,44800000;15,02188900
45221;45221;ALLEMBE;214;62;16;1;2;-1,17722200;15,37250000
45222;45222;ALLEMBE;214;67;16;1;2;-1,17722200;15,37250000
45223;45223;ALLEMBE;214;77;16;1;2;-1,17722200;15,37250000
10501;10501;ANDREJACQUES1;601;78;32;1;4;-4,74372222;11,89636111
10502;10502;ANDREJACQUES2;601;80;24;1;3;-4,74372222;11,89636111
10503;10503;ANDREJACQUES3;601;77;24;1;3;-4,74372222;11,89636111
10504;10504;ANDREJACQUES4;601;592;32;1;4;-4,74372222;11,89636111
10505;10505;ANDREJACQUES5;601;608;32;1;4;-4,74372222;11,89636111
10506;10506;ANDREJACQUES6;601;600;32;1;4;-4,74372222;11,89636111
C00791;791;ANGOLA LIBRE-1;250;63;60;2;8;-4,28988740;15,24004080
C00792;792;ANGOLA LIBRE-2;250;73;55;2;8;-4,28988740;15,24004080
C00793;793;ANGOLA LIBRE-3;250;71;60;2;8;-4,28988740;15,24004080
50181;50181;ASSOKO;118;72;8;1;1;-0,42755600;15,64736100
50182;50182;ASSOKO;118;69;8;1;1;-0,42755600;15,64736100
50183;50183;ASSOKO;118;65;8;1;1;-0,42755600;15,64736100
45242;45242;ATIKI;117;72;16;2;2;-1,15181000;15,81610000
45241;45241;ATIKI ;117;64;8;2;1;-1,15181000;15,81610000
45243;45243;ATIKI ;117;62;16;2;2;-1,15181000;15,81610000
30231;30231;AUBEVILLE;107;63;16;2;2;-4,26561100;13,54261100
30232;30232;AUBEVILLE;107;67;16;2;2;-4,26561100;13,54261100
30233;30233;AUBEVILLE;107;69;16;2;2;-4,26561100;13,54261100
10391;10391;AZUR1;401;66;16;1;2;-4,81080556;11,84797222
10392;10392;AZUR2;401;80;16;1;2;-4,81080556;11,84797222
10393;10393;AZUR3;401;68;16;1;2;-4,81080556;11,84797222
10394;10394;AZUR4;401;606;16;1;2;-4,81080556;11,84797222
10395;10395;AZUR5;401;600;16;1;2;-4,81080556;11,84797222
10396;10396;AZUR6;401;596;16;1;2;-4,81080556;11,84797222
10231;10231;BAKADILA1;601;62;32;1;4;-4,79069444;11,87136111
10232;10232;BAKADILA2;601;74;24;1;3;-4,79069444;11,87136111
10233;10233;BAKADILA3;601;64;32;1;4;-4,79069444;11,87136111
10234;10234;BAKADILA4;601;608;40;1;5;-4,79069444;11,87136111
10235;10235;BAKADILA5;601;606;32;1;4;-4,79069444;11,87136111
10236;10236;BAKADILA6;601;592;24;1;3;-4,79069444;11,87136111
40051;40051;BAMBAMA;108;62;8;1;1;-2,53450000;13,54312300
40052;40052;BAMBAMA;108;66;8;1;1;-2,53450000;13,54312300
40053;40053;BAMBAMA;108;64;8;1;1;-2,53450000;13,54312300
25141;25141;BANDA;612;64;8;1;1;-3,43193600;12,00841700
25142;25142;BANDA;612;72;16;1;2;-3,43193600;12,00841700
25143;25143;BANDA;612;67;16;1;2;-3,43193600;12,00841700
C00811;811;BARRAGE-1;300;65;61;2;8;-4,28750900;15,21728990
C00812;812;BARRAGE-2;300;73;61;2;8;-4,28750900;15,21728990
C00813;813;BARRAGE-3;300;67;29;2;4;-4,28750900;15,21728990
10291;10297;BASEINDUSTRIELA;601;75;32;1;4;-4,78486100;11,85356400
10292;10298;BASEINDUSTRIELB;601;67;24;1;3;-4,78486100;11,85356400
10293;10299;BASEINDUSTRIELC;601;64;16;1;2;-4,78486100;11,85356400
C00211;211;BEACH-1;200;74;60;2;8;-4,26992080;15,29455850
C00212;212;BEACH-2;200;76;60;2;8;-4,26992080;15,29455850
C00213;213;BEACH-3;200;68;61;2;8;-4,26992080;15,29455850
60021;60021;BETOU;306;67;24;1;3;3,06055000;18,51805000
60022;60022;BETOU;306;70;32;1;4;3,06055000;18,51805000
60023;60023;BETOU;306;73;16;1;2;3,06055000;18,51805000
C01281;1281;BIFOUITI-1;300;64;60;2;8;-4,29751210;15,22859900
C01282;1282;BIFOUITI-2;300;66;60;2;8;-4,29751210;15,22859900
C01283;1283;BIFOUITI-3;300;63;55;2;8;-4,29751210;15,22859900
20031;20031;BILALA;109;64;16;1;2;-4,51300000;12,22228000
20032;20032;BILALA;109;66;24;1;3;-4,51300000;12,22228000
C35061;35061;BISSINZA-1;400;75;27;1;4;-4,38594400;15,11511000
C35062;35062;BISSINZA-2;400;77;13;1;2;-4,38594400;15,11511000
10531;10531;BISSONGO1;401;73;32;2;4;-4,78175000;11,90819444
10532;10532;BISSONGO2;401;80;24;2;3;-4,78175000;11,90819444
10533;10533;BISSONGO3;401;69;24;2;3;-4,78175000;11,90819444
10534;10534;BISSONGO4;401;598;32;2;4;-4,78175000;11,90819444
10535;10535;BISSONGO5;401;596;32;2;4;-4,78175000;11,90819444
10536;10536;BISSONGO6;401;606;32;2;4;-4,78175000;11,90819444
20211;20211;BIVELA;601;63;8;1;1;-3,82863100;12,00485000
20212;20212;BIVELA;601;79;8;1;1;-3,82863100;12,00485000
20213;20213;BIVELA;601;76;24;1;3;-3,82863100;12,00485000
C00951;951;BLANCHE GOMEZ-1;250;69;61;2;8;-4,27697420;15,25724890
C00952;952;BLANCHE GOMEZ-2;250;76;45;2;6;-4,27697420;15,25724890
C00953;953;BLANCHE GOMEZ-3;250;65;44;2;6;-4,27697420;15,25724890
C00401;401;BOETA MBONGO-1;200;76;73;2;10;-4,23949986;15,27458670
C00402;402;BOETA MBONGO-2;200;71;59;2;8;-4,23949986;15,27458670
C00403;403;BOETA MBONGO-3;200;66;72;2;10;-4,23949986;15,27458670
35211;35211;BOKO;413;63;16;1;2;-4,77756100;14,62180000
35212;35212;BOKO;413;78;8;1;1;-4,77756100;14,62180000
35213;35213;BOKO;413;66;8;1;1;-4,77756100;14,62180000
30091;30091;BOKO SONGHO;107;69;16;1;2;-4,43965600;13,63144100
30092;30092;BOKO SONGHO;107;63;16;1;2;-4,43965600;13,63144100
30093;30093;BOKO SONGHO;107;66;16;1;2;-4,43965600;13,63144100
50101;50101;BOKOUELE;117;76;16;1;2;-1,02600000;16,31272200
50102;50102;BOKOUELE;117;78;8;1;1;-1,02600000;16,31272200
50103;50103;BOKOUELE;117;69;8;1;1;-1,02600000;16,31272200
C00981;981;BONGONOUARA-1;100;65;28;2;4;-4,17529250;15,25400160
C00982;982;BONGONOUARA-2;100;74;60;2;8;-4,17529250;15,25400160
C00983;983;BONGONOUARA-3;100;77;59;2;8;-4,17529250;15,25400160
C01611;1611;BOPAKA-1;200;75;43;2;6;-4,26638030;15,24722670
C01612;1612;BOPAKA-2;200;65;42;2;6;-4,26638030;15,24722670
C01613;1613;BOPAKA-3;200;68;45;2;6;-4,26638030;15,24722670
50121;50121;BOTOUNOU;117;64;16;1;2;-0,90933300;17,35122200
50122;50122;BOTOUNOU;117;72;16;1;2;-0,90933300;17,35122200
50123;50123;BOTOUNOU;117;62;16;1;2;-0,90933300;17,35122200
30141;30141;BOUANSA;107;71;32;1;4;-4,21422200;13,76013900
30142;30142;BOUANSA;107;62;32;1;4;-4,21422200;13,76013900
30143;30143;BOUANSA;107;65;32;1;4;-4,21422200;13,76013900
45131;45131;BOUEMBA;117;66;24;1;3;-2,20384400;16,07348900
45132;45132;BOUEMBA;117;74;16;1;2;-2,20384400;16,07348900
45133;45133;BOUEMBA;117;70;8;1;1;-2,20384400;16,07348900
C00601;601;BOULEVARD-1;200;71;61;2;8;-4,26414440;15,26059440
C00602;602;BOULEVARD-2;200;68;60;2;8;-4,26414440;15,26059440
C00603;603;BOULEVARD-3;200;73;58;3;8;-4,26414440;15,26059440
50041;50041;BOUNDJI;117;66;32;1;4;-1,02828000;15,34339000
50042;50042;BOUNDJI;117;70;32;1;4;-1,02828000;15,34339000
50043;50043;BOUNDJI;117;74;24;1;3;-1,02828000;15,34339000
C00751;751;BOURREAU-1;300;63;59;2;8;-4,29979750;15,24132350
C00752;752;BOURREAU-2;300;71;59;2;8;-4,29979750;15,24132350
C00753;753;BOURREAU-3;300;69;56;2;8;-4,29979750;15,24132350
10021;10021;BRASSERIE1;401;72;32;1;4;-4,81277778;11,86866667
10022;10022;BRASSERIE2;401;70;32;2;4;-4,81277778;11,86866667
10023;10023;BRASSERIE3;401;64;24;2;3;-4,81277778;11,86866667
10024;10024;BRASSERIE4;401;594;24;2;3;-4,81277778;11,86866667
10025;10025;BRASSERIE5;401;603;24;2;3;-4,81277778;11,86866667
10026;10026;BRASSERIE6;401;601;16;2;2;-4,81277778;11,86866667
10741;10741;CAMPLABASE1;401;65;32;1;4;-4,81096000;11,87796000
10742;10742;CAMPLABASE2;401;76;32;1;4;-4,81096000;11,87796000
10743;10743;CAMPLABASE3;401;74;32;1;4;-4,81096000;11,87796000
C00201;201;CASE DE GAULLE-1;250;65;44;2;6;-4,28957800;15,26626700
C00202;202;CASE DE GAULLE-2;250;72;45;2;6;-4,28957800;15,26626700
C00203;203;CASE DE GAULLE-3;250;75;60;2;8;-4,28957800;15,26626700
10441;10447;CASEPARTIA;601;70;24;1;3;-4,78172200;11,86575000
10442;10448;CASEPARTIB;601;68;24;1;3;-4,78172200;11,86575000
10443;10449;CASEPARTIC;601;73;24;1;3;-4,78172200;11,86575000
C00171;171;CASIS-1;100;77;59;2;8;-4,19775680;15,25798320
C00172;172;CASIS-2;100;64;61;2;8;-4,19775680;15,25798320
C00173;173;CASIS-3;100;73;61;2;8;-4,19775680;15,25798320
C00581;581;CATARACTES-1;300;63;44;2;6;-4,30921600;15,22271730
C00582;582;CATARACTES-2;300;73;45;2;6;-4,30921600;15,22271730
C00583;583;CATARACTES-3;300;67;45;2;6;-4,30921600;15,22271730
C00131;131;CEG NGAMABA-1;200;74;77;2;10;-4,24704460;15,24281310
C00132;132;CEG NGAMABA-2;200;64;60;2;8;-4,24704460;15,24281310
C00133;133;CEG NGAMABA-3;200;72;58;2;8;-4,24704460;15,24281310
10691;10697;CEGMOEPOATYA;601;74;32;1;4;-4,77130600;11,87561100
10692;10698;CEGMOEPOATYB;601;70;24;1;3;-4,77130600;11,87561100
10693;10699;CEGMOEPOATYC;601;68;32;1;4;-4,77130600;11,87561100
C00651;651;CENTRE SPORTIF-1;250;64;60;2;8;-4,29231790;15,24507710
C00652;652;CENTRE SPORTIF-2;250;76;57;2;8;-4,29231790;15,24507710
C00653;653;CENTRE SPORTIF-3;250;66;60;2;8;-4,29231790;15,24507710
C00701;701;CIESPAC-1;100;65;60;2;8;-4,21153310;15,26555730
C00702;702;CIESPAC-2;100;76;44;2;6;-4,21153310;15,26555730
C00703;703;CIESPAC-3;100;70;60;2;8;-4,21153310;15,26555730
10811;10811;CIMITIEREMONGO1;601;62;24;0;3;-4,75238889;11,90108333
10812;10812;CIMITIEREMONGO2;601;66;24;0;3;-4,75238889;11,90108333
10813;10813;CIMITIEREMONGO3;601;72;24;0;3;-4,75238889;11,90108333
10814;10814;CIMITIEREMONGO4;601;590;32;0;4;-4,75238889;11,90108333
10815;10815;CIMITIEREMONGO5;601;603;32;0;4;-4,75238889;11,90108333
10816;10816;CIMITIEREMONGO6;601;599;32;0;4;-4,75238889;11,90108333
C00661;661;CINEMA ABC-1;200;71;60;2;8;-4,26032110;15,27097990
C00662;662;CINEMA ABC-2;200;69;60;2;8;-4,26032110;15,27097990
C00663;663;CINEMA ABC-3;200;67;59;2;8;-4,26032110;15,27097990
10751;10751;CLUBHIPPIQUE41;401;67;32;1;4;-4,80444000;11,86241000
10752;10752;CLUBHIPPIQUE42;401;77;32;1;4;-4,80444000;11,86241000
10753;10753;CLUBHIPPIQUE43;401;63;32;1;4;-4,80444000;11,86241000
C01081;1081;CNSS LYCEE-1;100;72;57;2;8;-4,20638080;15,25924490
C01082;1082;CNSS LYCEE-2;100;63;60;2;8;-4,20638080;15,25924490
C01083;1083;CNSS LYCEE-3;100;75;60;2;8;-4,20638080;15,25924490
10601;10607;CNSSFOUKSA;601;77;32;1;4;-4,78358300;11,88519400
10602;10608;CNSSFOUKSB;601;63;24;1;3;-4,78358300;11,88519400
10603;10609;CNSSFOUKSC;601;73;24;1;3;-4,78358300;11,88519400
C00564;564;COMMUNE-4;200;592;;2;4;-4,24688100;15,27152000
C00565;565;COMMUNE-5;200;600;;2;4;-4,24688100;15,27152000
C00566;566;COMMUNE-6;200;610;;2;4;-4,24688100;15,27152000
C00841;841;CORDONNIER-1;100;70;60;2;8;-4,22369000;15,27912810
C00842;842;CORDONNIER-2;100;76;43;2;6;-4,22369000;15,27912810
C00843;843;CORDONNIER-3;100;68;60;2;8;-4,22369000;15,27912810
10761;10761;COTEMATEV1;501;62;32;1;4;-4,88510000;11,92850000
10762;10762;COTEMATEV2;501;66;32;1;4;-4,88510000;11,92850000
10763;10763;COTEMATEV3;501;79;32;1;4;-4,88510000;11,92850000
10241;10247;CULOTTEA;601;69;24;1;3;-4,77326100;11,89288300
10242;10248;CULOTTEB;601;76;24;1;3;-4,77326100;11,89288300
10243;10249;CULOTTEC;601;74;24;1;3;-4,77326100;11,89288300
C00311;311;DC BRAZZA-1;200;68;76;2;10;-4,27691890;15,28129860
C00312;312;DC BRAZZA-2;200;64;60;2;8;-4,27691890;15,28129860
C00313;313;DC BRAZZA-3;200;77;61;2;8;-4,27691890;15,28129860
C00091;91;DIATTA-1;250;71;60;2;8;-4,27293250;15,24125670
C00092;92;DIATTA-2;250;65;44;2;6;-4,27293250;15,24125670
C00093;93;DIATTA-3;250;73;43;2;6;-4,27293250;15,24125670
10101;10101;DIOSSO;601;71;16;1;2;-4,63352500;11,84201100
10102;10102;DIOSSO;601;65;16;1;2;-4,63352500;11,84201100
10103;10103;DIOSSO;601;68;16;1;2;-4,63352500;11,84201100
25091;25091;DIVENIE;612;64;16;1;2;-2,70891700;12,02900000
25092;25092;DIVENIE;612;66;16;1;2;-2,70891700;12,02900000
25093;25093;DIVENIE;612;68;16;1;2;-2,70891700;12,02900000
C00511;511;DIX MAISONS-1;200;75;59;2;8;-4,25115010;15,26514240
C00512;512;DIX MAISONS-2;200;69;59;2;8;-4,25115010;15,26514240
C00513;513;DIX MAISONS-3;200;77;61;2;8;-4,25115010;15,26514240
45031;45031;DJAMBALA ;214;64;32;1;4;-2,54119400;14,75513900
45032;45032;DJAMBALA ;214;66;32;1;4;-2,54119400;14,75513900
45033;45033;DJAMBALA ;214;76;32;1;4;-2,54119400;14,75513900
C00271;271;DJOUE-1;300;76;60;2;8;-4,30718900;15,23743630
C00272;272;DJOUE-2;300;69;58;2;8;-4,30718900;15,23743630
25071;25071;DOLISIE BACONGO;109;70;64;2;8;-4,20982800;12,67288100
25072;25072;DOLISIE BACONGO;109;64;56;1;7;-4,20982800;12,67288100
25073;25073;DOLISIE BACONGO;109;73;56;1;7;-4,20982800;12,67288100
25077;25077;DOLISIE BACONGO;109;595;32;1;4;-4,20982800;12,67288100
25078;25078;DOLISIE BACONGO;109;597;32;1;4;-4,20982800;12,67288100
25079;25079;DOLISIE BACONGO;109;599;32;1;4;-4,20982800;12,67288100
25341;25341;DOLISIE GAYA;109;63;16;1;2;-4,19739000;12,68258300
25342;25342;DOLISIE GAYA;109;69;16;1;2;-4,19739000;12,68258300
25343;25343;DOLISIE GAYA;109;67;32;1;4;-4,19739000;12,68258300
25344;25344;DOLISIE GAYA;109;589;32;1;4;-4,19739000;12,68258300
25345;25345;DOLISIE GAYA;109;591;32;1;4;-4,19739000;12,68258300
25346;25346;DOLISIE GAYA;109;593;32;1;4;-4,19739000;12,68258300
25361;25361;DOLISIE EXCELLENCE;109;73;12;1;2;-4,15930600;12,64563900
25362;25362;DOLISIE EXCELLENCE;109;66;12;1;2;-4,15930600;12,64563900
25363;25363;DOLISIE EXCELLENCE;109;68;12;1;2;-4,15930600;12,64563900
60031;60031;DONGOU;406;77;24;1;3;2,13630000;18,04186000
60032;60032;DONGOU;406;80;24;1;3;2,13630000;18,04186000
60033;60033;DONGOU;406;75;16;1;2;2,13630000;18,04186000
40131;40131;DOUAKANI;108;74;16;1;2;-2,94483600;13,61364400
40132;40132;DOUAKANI;108;65;16;1;2;-2,94483600;13,61364400
40133;40133;DOUAKANI;108;62;16;1;2;-2,94483600;13,61364400
20291;20291;DOUMANGA;191;;16;1;2;-4,41714400;12,22519700
20292;20292;DOUMANGA;191;;16;1;2;-4,41714400;12,22519700
20293;20293;DOUMANGA;191;;16;1;2;-4,41714400;12,22519700
C01321;1321;DZOUMOUNA-1;400;73;13;1;2;-4,36093000;15,13820000
C01322;1322;DZOUMOUNA-2;400;63;12;1;2;-4,36093000;15,13820000
C01323;1323;DZOUMOUNA-3;400;71;13;1;2;-4,36093000;15,13820000
C00831;831;ECOLE MOUKONDO-1;100;72;58;2;8;-4,22783300;15,26909450
C00832;832;ECOLE MOUKONDO-2;100;68;57;2;8;-4,22783300;15,26909450
C00833;833;ECOLE MOUKONDO-3;100;66;59;2;8;-4,22783300;15,26909450
10611;10611;ECOLE31DEC19691;601;68;32;2;4;-4,79122222;11,88613889
10612;10612;ECOLE31DEC19692;601;73;32;2;4;-4,79122222;11,88613889
10613;10613;ECOLE31DEC19693;601;78;32;2;4;-4,79122222;11,88613889
10614;10614;ECOLE31DEC19694;601;603;24;2;3;-4,79122222;11,88613889
10615;10615;ECOLE31DEC19695;601;599;32;2;4;-4,79122222;11,88613889
10616;10616;ECOLE31DEC19696;601;590;32;2;4;-4,79122222;11,88613889
50141;50141;EDOU;117;73;32;1;4;-1,11091600;15,95236100
50142;50142;EDOU;117;64;32;1;4;-1,11091600;15,95236100
50143;50143;EDOU;117;79;24;1;3;-1,11091600;15,95236100
C00381;381;EEC DE TALANGAI-1;100;68;59;2;8;-4,22767210;15,28731540
C00382;382;EEC DE TALANGAI-2;100;66;61;2;8;-4,22767210;15,28731540
C00383;383;EEC DE TALANGAI-3;100;71;60;2;8;-4,22767210;15,28731540
62161;62161;ELONDZI;118;63;12;1;2;-1,14645000;16,34696944
62162;62162;ELONDZI;118;68;12;1;2;-1,14645000;16,34696944
62163;62163;ELONDZI;118;72;12;1;2;-1,14645000;16,34696944
60041;60041;ENYELLE;506;65;8;1;1;2,82361100;18,03442500
60042;60042;ENYELLE;506;71;24;1;3;2,82361100;18,01722200
60043;60043;ENYELLE;506;79;8;1;1;2,82361100;18,01722200
60051;60051;EPENA;191;62;16;1;2;1,36222200;17,45861100
60052;60052;EPENA;191;79;16;1;2;1,36222200;17,45861100
60053;60053;EPENA;191;72;8;1;1;1,36222200;17,45861100
55031;55031;ETOUMBI;191;79;8;1;1;0,02464000;14,89050000
55032;55032;ETOUMBI;191;77;24;1;3;0,02464000;14,89050000
55033;55033;ETOUMBI;191;75;16;1;2;0,02464000;14,89050000
C45151;45151;ETSOUALI-1;213;74;29;1;4;-2,76354000;15,51754000
C45152;45152;ETSOUALI-2;213;68;30;1;4;-2,76354000;15,51754000
55021;55021;EWO;117;64;32;2;4;-0,87406000;14,81591000
55022;55022;EWO;117;72;16;2;2;-0,87406000;14,81591000
55023;55023;EWO;117;66;32;2;4;-0,87406000;14,81591000
55171;55171;EWO BOUGUI;118;;16;2;2;0,85605600;14,82233300
55172;55172;EWO BOUGUI;118;;24;2;3;0,85605600;14,82233300
55173;55173;EWO BOUGUI;118;;8;2;1;0,85605600;14,82233300
55161;55161;EWO2 MTN;118;;16;1;2;0,88433100;14,82311100
55162;55162;EWO2 MTN;118;;16;1;2;0,88433100;14,82311100
55163;55163;EWO2 MTN;118;;16;1;2;0,88433100;14,82311100
C01051;1051;EX TRESOR-1;250;68;29;2;4;-4,28375700;15,26817800
C01052;1052;EX TRESOR-2;250;70;29;2;4;-4,28375700;15,26817800
C01053;1053;EX TRESOR-3;250;73;29;2;4;-4,28375700;15,26817800
C00061;61;FAIGNOND-1;200;77;57;2;8;-4,26301000;15,28433900
C00062;62;FAIGNOND-2;200;69;59;2;8;-4,26301000;15,28433900
C00063;63;FAIGNOND-3;200;72;59;2;8;-4,26301000;15,28433900
C00071;71;FINANCES-1;200;73;60;2;8;-4,27685640;15,27766610
C00072;72;FINANCES-2;200;70;60;2;8;-4,27685640;15,27766610
C00073;73;FINANCES-3;200;67;61;2;8;-4,27685640;15,27766610
10781;10781;FOIREPNR;601;73;16;2;2;-4,77586000;11,85878000
10782;10781;FOIREPNR;601;64;16;2;2;-4,77586000;11,85878000
10783;10781;FOIREPNR;601;70;16;2;2;-4,77586000;11,85878000
10211;10217;FONDTIETIEA;601;65;24;1;3;-4,80226100;11,90130800
10212;10218;FONDTIETIEB;601;68;24;2;3;-4,80226100;11,90130800
10213;10219;FONDTIETIEC;601;63;24;1;3;-4,80226100;11,90130800
25351;25351;FORALAC;612;68;16;2;2;-3,44083000;12,67361100
25352;25352;FORALAC;612;63;16;2;2;-3,44083000;12,67361100
25353;25353;FORALAC;612;70;16;2;2;-3,44083000;12,67361100
10661;10667;FORUMMBONGUIA;601;68;24;1;3;-4,79394400;11,85311100
10662;10668;FORUMMBONGUIB;601;77;24;1;3;-4,79394400;11,85311100
10663;10669;FORUMMBONGUIC;601;65;24;1;3;-4,79394400;11,85311100
10551;10551;FOUTA;501;;16;1;2;-4,95108300;11,97330600
10552;10552;FOUTA;501;;24;1;3;-4,95108300;11,97330600
10553;10553;FOUTA;501;;16;1;2;-4,95108300;11,97330600
45211;45211;GAMBOMA;117;64;32;1;4;-1,87194000;15,87337000
45212;45212;GAMBOMA;117;70;32;1;4;-1,87194000;15,87337000
45213;45213;GAMBOMA;117;66;32;1;4;-1,87194000;15,87337000
10371;10371;GAYA1;901;77;16;1;2;-4,83569444;11,88244444
10372;10372;GAYA2;901;68;16;1;2;-4,83569444;11,88244444
10373;10373;GAYA3;901;63;16;1;2;-4,83569444;11,88244444
10374;10374;GAYA4;901;607;16;1;2;-4,83569444;11,88244444
10375;10375;GAYA5;901;612;16;1;2;-4,83569444;11,88244444
10376;10376;GAYA6;901;589;16;1;2;-4,83569444;11,88244444
35371;35371;GOMA TSE-TSE;413;65;16;1;2;-4,25041700;15,10877800
35372;35372;GOMA TSE-TSE;413;69;16;1;2;-4,25041700;15,10877800
35373;35373;GOMA TSE-TSE;413;73;16;1;2;-4,25041700;15,10877800
10031;10037;GRANDMARCHEA;601;80;32;1;4;-4,78666700;11,86628300
10032;10038;GRANDMARCHEB;601;77;24;1;3;-4,78666700;11,86628300
10033;10039;GRANDMARCHEC;601;72;24;1;3;-4,78666700;11,86628300
C00191;191;HD TALANGAI-1;100;76;60;2;8;-4,22462610;15,28965380
C00192;192;HD TALANGAI-2;100;73;76;2;10;-4,22462610;15,28965380
C00193;193;HD TALANGAI-3;100;67;76;2;10;-4,22462610;15,28965380
20041;20041;HINDA;109;77;24;1;3;-4,60794400;12,04355600
20042;20042;HINDA;109;63;16;1;2;-4,60794400;12,04355600
20043;20043;HINDA;109;67;24;1;3;-4,60794400;12,04355600
C00041;41;HQ BRAZZA-1;200;71;61;2;8;-4,26986550;15,27585120
C00042;42;HQ BRAZZA-2;200;75;61;2;8;-4,26986550;15,27585120
C00043;43;HQ BRAZZA-3;200;73;45;2;6;-4,26986550;15,27585120
10011;10017;HQPNRA;601;69;32;1;4;-4,80075000;11,84258100
10012;10018;HQPNRB;601;64;24;1;3;-4,80075000;11,84258100
10013;10019;HQPNRC;601;77;24;1;3;-4,80075000;11,84258100
50191;50191;IBEKE;118;78;8;1;1;-0,68167700;15,90121500
50192;50192;IBEKE;118;63;8;1;1;-0,68167700;15,90121500
50193;50193;IBEKE;118;65;8;1;1;-0,68167700;15,90121500
35411;35411;IMBIMI;214;65;16;1;2;-3,79778900;15,45635000
35412;35412;IMBIMI;214;76;16;1;2;-3,79778900;15,45635000
C45251;45251;IMBOULOU_2-1;213;66;13;1;2;-2,92672200;16,04358000
C45252;45252;IMBOULOU_2-2;213;77;29;1;4;-2,92672200;16,04358000
C45253;45253;IMBOULOU_2-3;213;63;13;1;2;-2,92672200;16,04358000
C35201;35201;IMBOULOU-1;213;72;29;2;4;-2,96852500;16,04986000
C35202;35202;IMBOULOU-2;213;74;30;2;4;-2,96852500;16,04986000
C35203;35203;IMBOULOU-3;213;70;29;2;4;-2,96852500;16,04986000
C01271;1271;IMMEUBLE NKOUKOU FILS-1;250;67;60;1;8;-4,28256180;15,25793550
C01272;1272;IMMEUBLE NKOUKOU FILS-2;250;63;61;1;8;-4,28256180;15,25793550
C01273;1273;IMMEUBLE NKOUKOU FILS-3;250;65;61;1;8;-4,28256180;15,25793550
60011;60011;IMPFONDO;606;64;48;1;6;1,61714000;18,06203000
60012;60012;IMPFONDO;606;67;32;1;4;1,61714000;18,06203000
60013;60013;IMPFONDO;606;70;32;1;4;1,61714000;18,06203000
45071;45071;IMPORO;117;66;16;1;2;-1,66225000;15,87786100
45072;45072;IMPORO;117;78;16;1;2;-1,66225000;15,87786100
35191;35191;IMVOUBA;214;72;16;1;2;-3,32250000;15,57444500
35192;35192;IMVOUBA;214;77;16;1;2;-3,32250000;15,57444500
35193;35193;IMVOUBA;214;69;32;1;4;-3,32250000;15,57444500
45371;45371;INGOUELE;117;;16;1;2;-1,88565000;16,14328900
45372;45372;INGOUELE;117;;16;1;2;-1,88565000;16,14328900
45373;45373;INGOUELE;117;;16;1;2;-1,88565000;16,14328900
35041;35041;INONI;214;69;16;1;2;-3,06997200;15,64319400
35042;35042;INONI;214;67;16;1;2;-3,06997200;15,64319400
35043;35043;INONI;214;64;16;1;2;-3,06997200;15,64319400
C00621;621;INTENDANCE-1;200;77;74;2;10;-4,23592620;15,28699680
C00622;622;INTENDANCE-2;200;72;75;2;10;-4,23592620;15,28699680
