Longitude;Latitude
11,53,59.46;4,47,53.81
11,53,59.46;4,47,53.81
12,40,25.32;3,26,27.49
12,40,25.32;3,26,27.49
12,40,25.32;3,26,27.49
11,52,22.14;4,46,56.49
11,52,22.14;4,46,56.49
11,52,22.14;4,46,56.49
11,52,47.21;4,46,43.82
11,52,47.21;4,46,43.82
11,52,47.21;4,46,43.82
11,58,42;4,57,35
11,58,42;4,57,35
11,58,42;4,57,35
15,52,23.5;1,52,22.5
15,52,23.5;1,52,22.5
15,52,23.5;1,52,22.5
12,39,25.6;3,4,41.2
12,39,25.6;3,4,41.2
12,39,25.6;3,4,41.2
11,52,57.1;4,49,58.1
11,52,57.1;4,49,58.1
11,52,57.1;4,49,58.1
11,52,57.1;4,49,58.1
11,52,57.1;4,49,58.1
11,52,57.1;4,49,58.1
15,6,31.2;4,15,1.7
15,6,31.2;4,15,1.7
15,6,31.2;4,15,1.7
12,2,35.8;4,36,28.4
12,2,35.8;4,36,28.4
12,2,35.8;4,36,28.4
15,17,7.44;4,16,30.61
15,17,7.44;4,16,30.61
11,50,23.28;4,47,59.82
11,50,23.28;4,47,59.82
11,50,23.28;4,47,59.82
11,50,23.28;4,47,59.82
11,50,23.28;4,47,59.82
11,50,23.28;4,47,59.82
15,54,24.1;0,41,8.5
15,54,24.1;0,41,8.5
15,54,24.1;0,41,8.5
15,20,49.5;"0,35,12.5""N"
15,20,49.5;"0,35,12.5""N"
15,20,49.5;"0,35,12.5""N"
15,40,0.48;3,27,56.48
15,40,0.48;3,27,56.48
15,40,0.48;3,27,56.48
16,2,39.84;2,58,57.9
16,2,39.84;2,58,57.9
18,3,49;"1,37,0""N"
18,3,49;"1,37,0""N"
18,3,49;"1,37,0""N"
18,3,36;"1,34,31.8""N"
18,3,36;"1,34,31.8""N"
18,3,36;"1,34,31.8""N"
16,8,34.8;1,53,8.02
16,8,34.8;1,53,8.02
16,8,34.8;1,53,8.02
17,11,0.24;"2,37,58.3""N"
17,11,0.24;"2,37,58.3""N"
15,16,3.9;4,11,38.22
15,16,3.9;4,11,38.22
15,16,3.9;4,11,38.22
15,16,41.3;4,14,59.39
